Name,Year,Salaries,Rank
Allan Ray,2000,,864
Hassan Adams,2000,,865
Ryan Hollins,2000,,866
Daniel Gibson,2000,,867
Pops Mensah-Bonsu,2000,,868
Jose Juan Barea,2000,,869
Yakhouba Diawara,2000,,870
Ivan McFarlin,2000,,871
Will Blalock,2000,,872
Paul Davis,2000,,873
Alexander Johnson,2000,,874
Tarence Kinsey,2000,,875
Chris Quinn,2000,,876
Robert Hite,2000,,877
Damir Markota,2000,,878
David Noel,2000,,879
Craig Smith,2000,,880
Marcus Vinicius,2000,,881
James Augustine,2000,,882
Bobby Jones,2000,,883
PJ Tucker,2000,,884
Uros Slokar,2000,,885
Brian Chase,2000,,886
Roger Powell,2000,,887
Kelenna Azubuike,2000,,888
Desmon Farmer,2000,,889
Justin Williams,2000,,890
Andre Brown,2000,,891
Jeremy Richardson,2000,,892
Chris McCray,2000,,893
Andreas Glyniadakis,2000,,894
Steven Smith,2000,,895
Mike Gansey,2000,,896
Mike Hall,2000,,897
Pat Carroll,2000,,898
Jimmie Hunter,2000,,899
Paul Miller,2000,,900
Jefferson Sobral,2000,,901
Daniel Horton,2000,,902
Vincent Grier,2000,,903
Luke Schenscher,2000,,904
Kevin Pittsnogle,2000,,905
Will Conroy,2000,,906
Renaldo Major,2000,,907
Greg Oden,2000,,908
Kevin Durant,2000,,909
Al Horford,2000,,910
Mike Conley,2000,,911
Jeff Green,2000,,912
Luis Scola,2000,,913
Yi Jianlian,2000,,914
Corey Brewer,2000,,915
Brandan Wright,2000,,916
Joakim Noah,2000,,917
